variant,rep_accession,total,B3.13,D1.1,B3.2,B2.1,B3.6,A1,B1.1,B4.1,Other assigned,Not assigned,UNK
V1,EPI_ISL_18133029,1767,0,0,319,504,0,368,48,0,499,29,0
V2,EPI_ISL_19280426,1216,962,0,0,0,184,0,0,0,8,62,0
V3,EPI_ISL_19531303,1132,0,725,0,0,0,0,0,0,102,305,0
V4,EPI_ISL_19531296,390,353,0,0,0,0,0,0,0,0,37,0
V5,EPI_ISL_19661101,366,314,0,0,0,0,0,0,0,0,52,0
V6,EPI_ISL_19497982,248,225,0,0,0,0,0,0,0,0,23,0
V7,EPI_ISL_17260670,234,0,0,1,0,0,0,0,227,0,6,0
V8,EPI_ISL_19532193,183,160,0,0,0,0,0,0,0,0,23,0
V9,EPI_ISL_19765907,161,0,0,135,0,4,0,0,0,22,0,0
V10,EPI_ISL_18914519,160,0,0,0,0,133,0,0,0,27,0,0
