protocol,linkage,N,pearson_r,pearson_p,spearman_rho,spearman_p,rmse,r_CI_lo,r_CI_hi
flexddg_wCrelax,all,10,0.729507549416188,0.01664219929123614,0.7214321756760975,0.018520021138187695,3.284936803785357,0.18471852426699928,0.9313510044629679
9dip_bn16_bb1_min,all,10,0.4408586776232827,0.20220888792412436,0.3763993960049204,0.2836973552022568,5.860219649028411,-0.26131031410024247,0.8379070804869819
9dip_bn16_bb2_min,all,10,0.34220127449166904,0.333105748611972,0.307392840070685,0.3875943819818888,6.0989247629806895,-0.3663724950424087,0.7995609929721916
9dip_bn16_bb3_min,all,10,0.36224706791518224,0.3036364348127698,0.43285930540565853,0.211479264884882,6.2185512948850175,-0.3463941560117781,0.8076664007620791
flexddg_woCrelax,all,10,-0.5346950711800873,0.11129675709281332,-0.4391326286724072,0.2041888592077466,6.83489282233884,-0.8710722501099873,0.14312388695224915
9dip_bn16_bb1_avg,all,10,0.6436308064352351,0.04463999565640483,0.5520524474738833,0.09800570264863422,6.959019137215509,0.023533150191525482,0.9060760400442335
9dip_bn16_bb3_avg,all,10,0.6242563493037079,0.05371084249417046,0.5269591544068886,0.11756639064613937,6.979178247377502,-0.008861021165562952,0.9001025485411772
9dip_bn16_bb2_avg,all,10,0.6206782756045718,0.05550968177562494,0.52068583114014,0.12280913303690637,7.09332170070297,-0.014701654150860237,0.898987901347281
9dio_cr15_bb3_avg,all,8,0.6174396578889383,0.10288367165964526,0.5914961748546858,0.12247512700120348,8.27848157143578,-0.15443631274355138,0.9212755351391015
9dio_bn16_bb1_avg,all,8,0.541686650526377,0.16552836926333406,0.3086066999241838,0.4570516478374692,8.300664650079911,-0.2636239468404721,0.9020431169113411
9dip_cr15_bb2_min,all,10,0.12120239691688352,0.7387303171169636,0.025093293066994697,0.9451429721241329,8.38883800057566,-0.5504377960896869,0.697600758409721
9dio_bn16_bb3_avg,all,8,0.5553070522039426,0.15304503123598626,0.5657789498610037,0.14381060440076043,8.47635726804584,-0.24540415013283973,0.9056099290152092
9dio_cr15_bb2_avg,all,8,0.5995601651004171,0.11617807178617037,0.41147559989891175,0.3111446791773791,8.591092913890526,-0.18202706737472443,0.9168663714443793
9dio_bn16_bb2_avg,all,8,0.5456705169574579,0.16182189285171628,0.5657789498610037,0.14381060440076043,8.592568204612668,-0.25835358921411933,0.903091499901943
9dio_cr15_bb1_avg,all,8,0.6428920875708642,0.08553633652117922,0.6172133998483676,0.10304617317954042,8.898534919582882,-0.11296668153955487,0.9274203161596306
9dip_cr15_bb1_min,all,10,0.2796499944568286,0.43390280416189064,0.16310640493546552,0.6525462582032266,8.971764710151803,-0.42477834067476083,0.7731503017656314
9dip_cr15_bb3_min,all,10,0.2630547677328857,0.4627603709220958,0.17565305146896287,0.6273964620965891,9.378661921364861,-0.43934828535479453,0.7658438261221868
9dio_bn16_bb1_min,all,9,0.2632958289475615,0.49364658764496644,0.10540925533894598,0.7872404144981762,10.904758920590536,-0.48577863071077576,0.7893907967971306
9dio_cr15_bb3_min,all,9,0.5579337402780943,0.1185123136398783,0.3865006029094686,0.30417403297559,11.296476474329516,-0.16871011522771043,0.8916654940177697
9dio_bn16_bb3_min,all,9,0.31083367230942915,0.41556780872974836,0.21081851067789195,0.5861141333812967,11.388965148771081,-0.44520081353940644,0.8081367433461991
9dio_bn16_bb2_min,all,9,0.26668802282604154,0.4878860958837626,0.21081851067789195,0.5861141333812967,11.396597469038834,-0.48298625358749353,0.7907617828469392
9dio_cr15_bb1_min,all,9,0.5607816679153579,0.11624172076030076,0.3865006029094686,0.30417403297559,11.447158160146651,-0.16468054410582608,0.8925117559764663
9dio_cr15_bb2_min,all,9,0.5606441299407595,0.11635077220010774,0.3865006029094686,0.30417403297559,11.45572454309894,-0.16487570653765193,0.8924709401616808
9dip_cr15_bb1_avg,all,10,0.18174502030417966,0.6153066958382296,0.1693797282022142,0.6399300910490355,13.310618663431685,-0.5057657577470972,0.7280649280152538
9dip_cr15_bb3_avg,all,10,0.22134894157882634,0.5388335085785441,0.17565305146896287,0.6273964620965891,13.395957708333333,-0.47440255287017946,0.7468901712137894
9dip_cr15_bb2_avg,all,10,0.1695089923335509,0.6396709889219999,0.1693797282022142,0.6399300910490355,13.568541026530708,-0.5151016611966797,0.7220771448554535
