Accession ID,HA Segment ID,Virus name,Collection date,Location,Passage history,Originating lab,Originating sample ID,Submitting lab,Submitting sample ID,Submitter,Authors,Publication,Submission date,Update date,Representative accession
EPI_ISL_18133416,EPI2712225|A/Blue-winged Teal/South Carolina/USDA-000345-003/2021_HA,A/Blue-winged Teal/South Carolina/USDA-000345-003/2021,12/30/21,North America / United States / South Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.",,8/24/23,,EPI_ISL_18133029
EPI_ISL_18133029,EPI2709137|A/American Wigeon/South Carolina/USDA-000345-001/2021_HA,A/American Wigeon/South Carolina/22-000345-001/2021,12/30/21,North America / United States / South Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",5/10/23,,EPI_ISL_18133029
EPI_ISL_9876777,EPI1985918|A/American blue-winged teal/South Carolina/AH0195150/2021,A/American blue-winged teal/South Carolina/AH0195150/2021,12/30/21,North America / United States / South Carolina / Colleton County,original,USDA-NWRC Wildlife Services,AH0195150,National Veterinary Services Laboratories - USDA,22-000345-003,Mary Lea Killian (National Veterinary Services Laboratories - USDA / Diagnostic Virology Laboratory),"Chinh,Thanh;Love, Emily;Franzen,Kerrie;Killian,Mary;Koster,Leo;Bevins,Sarah;Dilione,Krista;Lenoch,Julianna;Linder,Timothy","Wendy Puryear, Kaitlin Sawatzki, Nichola Hill, Alexa Foss, Jonathon J. Stone, Lynda Doughty, Dominique Walk, Katie Gilbert, Maureen Murray, Elena Cox, Priya Patel, Zak Mertz, Stephanie Ellis, Jennifer Taylor, Deborah Fauquier, Ainsley Smith, Robert A. DiGiovanni, Adriana van de Guchte, Ana Silvia Gonzalez-Reiche, Zain Khalil, Harm van Bakel, Mia K. Torchetti, Kristina Lantz, Julianna B. Lenoch, Jonathan Runstadler Highly Pathogenic Avian Influenza A(H5N1) Virus Outbreak in New England Seals, United States https://doi.org/10.3201/eid2904.221538 Emerging Infectious Diseases, (): , , 2023 Sarah N. Bevins, Susan A. Shriner, James C. Cumbee, Krista E. Dilione, Kelly E. Douglass, Jeremy W. Ellis, Mary Lea Killian, Mia K. Torchetti, Julianna B. Lenoch Intercontinental Movement of Highly Pathogenic Avian Influenza A(H5N1) Clade 2.3.4.4 Virus to the United States, 2021 https://doi.org/10.3201/eid2805.220318 Emerging Infectious Diseases, (): , , 2022",2/14/22,2/14/22,EPI_ISL_19490480
EPI_ISL_18133425,EPI2712300|A/Gadwall/South Carolina/USDA-001743-004/2022_HA,A/Gadwall/South Carolina/USDA-001743-004/2022,1/6/22,North America / United States / South Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133413,EPI2712201|A/duck/South Carolina/USDA-001743-033/2022_HA,A/duck/South Carolina/USDA-001743-033/2022,1/6/22,North America / United States / South Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133026,EPI2709113|A/American Wigeon/South Carolina/USDA-001743-011/2022_HA,A/American Wigeon/South Carolina/USDA-001743-011/2022,1/6/22,North America / United States / South Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133023,EPI2709089|A/American Wigeon/South Carolina/USDA-001743-014/2022_HA,A/American Wigeon/South Carolina/USDA-001743-014/2022,1/6/22,North America / United States / South Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133528,EPI2713114|A/Gadwall/South Carolina/USDA-001743-007/2022_HA,A/Gadwall/South Carolina/USDA-001743-007/2022,1/6/22,North America / United States / South Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133029
EPI_ISL_18133433,EPI2712364|A/Gadwall/South Carolina/USDA-001743-002/2022_HA,A/Gadwall/South Carolina/USDA-001743-002/2022,1/6/22,North America / United States / South Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_16297118
EPI_ISL_18133429,EPI2712332|A/Gadwall/South Carolina/USDA-001743-003/2022_HA,A/Gadwall/South Carolina/USDA-001743-003/2022,1/6/22,North America / United States / South Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_19605186
EPI_ISL_18133526,EPI2713099|A/Gadwall/South Carolina/USDA-001743-008/2022_HA,A/Gadwall/South Carolina/USDA-001743-008/2022,1/6/22,North America / United States / South Carolina,Original,,,,,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E.; Pantin-Jackwood,M.J.","Leonardo C. Caserta, Elisha A. Frye, Salman L. Butt, Melissa Laverack, Mohammed Nooruzzaman, Lina M. Covaleda, Alexis C. Thompson, Melanie Prarat Koscielny, Brittany Cronk, Ashley Johnson, Katie Kleinhenz, Erin E. Edwards, Gabriel Gomez, Gavin Hitchener, Mathias Martins, Darrell R. Kapczynski, David L. Suarez, Ellen Ruth Alexander Morris, Terry Hensley, John S. Beeby, Manigandan Lejeune, Amy K. Swinford, François Elvinger, Kiril M. Dimitrov, Diego G. Diel Spillover of highly pathogenic avian influenza H5N1 virus to dairy cattle https://doi.org/10.1038/s41586-024-07849-4 Nature, (): , , 2024",8/24/23,,EPI_ISL_18133526
