full_acc,strain,date,variant_count,variant_label,lineage
EPI_ISL_18133416,A/Blue-wingedTeal/SouthCarolina/USDA-000345-003/2021,12/30/21,1767,V1,A
EPI_ISL_18133029,A/AmericanWigeon/SouthCarolina/22-000345-001/2021,12/30/21,1767,V1,A
EPI_ISL_18133425,A/Gadwall/SouthCarolina/USDA-001743-004/2022,1/6/22,1767,V1,A
EPI_ISL_18133413,A/duck/SouthCarolina/USDA-001743-033/2022,1/6/22,1767,V1,A
EPI_ISL_18133026,A/AmericanWigeon/SouthCarolina/USDA-001743-011/2022,1/6/22,1767,V1,A
EPI_ISL_18133023,A/AmericanWigeon/SouthCarolina/USDA-001743-014/2022,1/6/22,1767,V1,A
EPI_ISL_18133528,A/Gadwall/SouthCarolina/USDA-001743-007/2022,1/6/22,1767,V1,A
EPI_ISL_18132373,A/NorthernPintail/NorthCarolina/USDA-001330-008/2022,1/8/22,1767,V1,A
EPI_ISL_18132366,A/NorthernShoveler/NorthCarolina/USDA-001330-016/2022,1/8/22,1767,V1,A
EPI_ISL_18133457,A/Gadwall/NorthCarolina/USDA-001330-021/2022,1/8/22,1767,V1,A
EPI_ISL_18133453,A/Gadwall/NorthCarolina/USDA-001330-032/2022,1/8/22,1767,V1,A
EPI_ISL_18133449,A/Gadwall/NorthCarolina/USDA-001672-002/2022,1/8/22,1767,V1,A
EPI_ISL_18133480,A/Green-wingedTeal/NorthCarolina/USDA-001673-001/2022,1/8/22,1767,V1,A
EPI_ISL_18133140,A/AmericanWigeon/NorthCarolina/USDA-001329-001/2022,1/8/22,1767,V1,A
EPI_ISL_18133133,A/AmericanWigeon/NorthCarolina/USDA-001330-001/2022,1/8/22,1767,V1,A
EPI_ISL_18133130,A/AmericanWigeon/NorthCarolina/USDA-001330-009/2022,1/8/22,1767,V1,A
EPI_ISL_18133124,A/AmericanWigeon/NorthCarolina/USDA-001330-012/2022,1/8/22,1767,V1,A
EPI_ISL_18133113,A/AmericanWigeon/NorthCarolina/USDA-001330-018/2022,1/8/22,1767,V1,A
EPI_ISL_18133109,A/AmericanWigeon/NorthCarolina/USDA-001330-019/2022,1/8/22,1767,V1,A
EPI_ISL_18133063,A/AmericanWigeon/NorthCarolina/USDA-001330-028/2022,1/8/22,1767,V1,A
EPI_ISL_18133059,A/AmericanWigeon/NorthCarolina/USDA-001330-029/2022,1/8/22,1767,V1,A
EPI_ISL_18133051,A/AmericanWigeon/NorthCarolina/USDA-001330-031/2022,1/8/22,1767,V1,A
EPI_ISL_18133047,A/AmericanWigeon/NorthCarolina/USDA-001672-001/2022,1/8/22,1767,V1,A
EPI_ISL_18133039,A/AmericanWigeon/NorthCarolina/USDA-001672-009/2022,1/8/22,1767,V1,A
EPI_ISL_18133204,A/Mallard/NorthCarolina/USDA-001330-003/2022,1/8/22,1767,V1,A
EPI_ISL_19604095,A/mallard/Tennessee/22-024871-002/2022,1/24/22,1767,V1,B
EPI_ISL_19604094,A/mallard/Tennessee/22-024871-001/2022,1/24/22,1767,V1,B
EPI_ISL_18107026,A/mallardduck/Tennessee/CEIRR-282/2022,1/24/22,1767,V1,B
EPI_ISL_18107025,A/mallardduck/Tennessee/CEIRR-278/2022,1/24/22,1767,V1,B
EPI_ISL_19604097,A/mallard/Tennessee/22-024871-004/2022,1/25/22,1767,V1,B
EPI_ISL_19604096,A/mallard/Tennessee/22-024871-003/2022,1/25/22,1767,V1,B
EPI_ISL_19604074,A/mallard/Tennessee/22-024871-005/2022,1/25/22,1767,V1,B
EPI_ISL_19604073,A/mallard/Tennessee/22-024871-006/2022,1/25/22,1767,V1,B
EPI_ISL_19604072,A/mallard/Tennessee/22-024871-007/2022,1/25/22,1767,V1,B
EPI_ISL_19604060,A/mallard/Tennessee/22-024871-009/2022,1/25/22,1767,V1,B
EPI_ISL_19606555,A/americanwigeon/Tennessee/22-024871-014/2022,1/25/22,1767,V1,B
EPI_ISL_19606554,A/americanwigeon/Tennessee/22-024871-013/2022,1/25/22,1767,V1,B
EPI_ISL_19608027,A/gadwall/Tennessee/22-024871-012/2022,1/25/22,1767,V1,B
EPI_ISL_19608025,A/gadwall/Tennessee/22-024871-011/2022,1/25/22,1767,V1,B
EPI_ISL_19608029,A/gadwall/Tennessee/22-024871-015/2022,1/25/22,1767,V1,B
EPI_ISL_19608023,A/gadwall/Tennessee/22-024871-010/2022,1/25/22,1767,V1,B
EPI_ISL_18107047,A/mallardduck/Tennessee/CEIRR-293/2022,1/25/22,1767,V1,B
EPI_ISL_18107046,A/mallardduck/Tennessee/CEIRR-291/2022,1/25/22,1767,V1,B
EPI_ISL_18107041,A/mallardduck/Tennessee/CEIRR-290/2022,1/25/22,1767,V1,B
EPI_ISL_18107035,A/mallardduck/Tennessee/CEIRR-288/2022,1/25/22,1767,V1,B
EPI_ISL_18107030,A/mallardduck/Tennessee/CEIRR-287/2022,1/25/22,1767,V1,B
EPI_ISL_18107022,A/gadwallduck/Tennessee/CEIRR-297/2022,1/25/22,1767,V1,B
EPI_ISL_18107021,A/gadwallduck/Tennessee/CEIRR-296/2022,1/25/22,1767,V1,B
EPI_ISL_18107020,A/gadwallduck/Tennessee/CEIRR-295/2022,1/25/22,1767,V1,B
EPI_ISL_18107005,A/americanwigeon/Tennessee/CEIRR-298/2022,1/25/22,1767,V1,B
EPI_ISL_18133249,A/Mallard/NewHampshire/USDA-003359-036/2022,1/26/22,1767,V1,A
EPI_ISL_18133245,A/Mallard/NewHampshire/USDA-003417-032/2022,1/26/22,1767,V1,A
EPI_ISL_18133237,A/Mallard/NewHampshire/USDA-003417-043/2022,1/26/22,1767,V1,A
